#     Source : all 
#     Cells  : 800
#     Volume : 2.00000000e-04
#          Time	volAverage(alpha.gas)	volAverage(mZero)	volAverage(mOne)	volAverage(rho_foam)	volAverage(rho)
1.00000000e+00	9.49913917e-01	5.00860834e+11	1.34048417e-05	1.09641143e+03	5.60409410e+01
2.00000000e+00	9.49841728e-01	5.01582724e+11	1.34241621e-05	1.09641141e+03	5.61200036e+01
3.00000000e+00	9.49770249e-01	5.02297528e+11	1.34432928e-05	1.09641139e+03	5.61982888e+01
4.00000000e+00	9.49699003e-01	5.03010021e+11	1.34623617e-05	1.09641137e+03	5.62763195e+01
5.00000000e+00	9.47747367e-01	5.22527957e+11	2.22171536e-03	1.09439833e+03	5.64156850e+01
6.00000000e+00	9.40387791e-01	5.96692298e+11	1.06016041e-02	1.08735816e+03	5.77322214e+01
7.00000000e+00	9.32842631e-01	6.73615679e+11	2.48476417e-02	1.07796981e+03	5.73296886e+01
8.00000000e+00	9.24887003e-01	7.52533032e+11	4.43650574e-02	1.06745196e+03	5.66796711e+01
9.00000000e+00	9.16380830e-01	8.33648301e+11	6.90259737e-02	1.05635632e+03	5.62261804e+01
1.00000000e+01	9.07728860e-01	9.15190055e+11	9.89295391e-02	1.04489220e+03	5.58495892e+01
1.10000000e+01	8.97998700e-01	1.00412665e+12	1.37455113e-01	1.03187680e+03	5.54060004e+01
1.20000000e+01	8.86995526e-01	1.10306469e+12	1.86445557e-01	1.01750116e+03	5.52564642e+01
1.30000000e+01	8.75073510e-01	1.20879254e+12	2.47538176e-01	1.00135587e+03	5.48665685e+01
1.40000000e+01	8.62459237e-01	1.31837993e+12	3.19819244e-01	9.84639223e+02	5.46742952e+01
1.50000000e+01	8.48605696e-01	1.43752554e+12	4.09937801e-01	9.65846900e+02	5.42810995e+01
1.60000000e+01	8.33682469e-01	1.56385629e+12	5.17702804e-01	9.45896698e+02	5.40770386e+01
1.70000000e+01	8.17216995e-01	1.70119017e+12	6.49670918e-01	9.23753599e+02	5.37611879e+01
1.80000000e+01	7.99303602e-01	1.84891432e+12	8.09573555e-01	8.99682046e+02	5.34802997e+01
1.90000000e+01	7.79542076e-01	2.00931805e+12	1.00395963e+00	8.73295131e+02	5.32708284e+01
2.00000000e+01	7.57616219e-01	2.18439189e+12	1.24135105e+00	8.44122901e+02	5.30559301e+01
2.10000000e+01	7.33198645e-01	2.37604565e+12	1.53195659e+00	8.11693583e+02	5.28449780e+01
2.20000000e+01	7.05942733e-01	2.58605070e+12	1.88811879e+00	7.75529973e+02	5.26367469e+01
2.30000000e+01	6.75521383e-01	2.81592698e+12	2.32447484e+00	7.35257768e+02	5.24266952e+01
2.40000000e+01	6.41589108e-01	3.06714752e+12	2.85781929e+00	6.90474940e+02	5.22631872e+01
2.50000000e+01	6.03769222e-01	3.34164475e+12	3.51189946e+00	6.40426949e+02	5.20744281e+01
2.60000000e+01	5.61516128e-01	3.64118350e+12	4.31162048e+00	5.84487027e+02	5.19117425e+01
2.70000000e+01	5.15278738e-01	3.96320753e+12	5.27625229e+00	5.23235088e+02	5.17490321e+01
2.80000000e+01	4.65934878e-01	4.30205935e+12	6.41191502e+00	4.57884458e+02	5.16219847e+01
2.90000000e+01	4.14146068e-01	4.65283798e+12	7.72398934e+00	3.89450200e+02	5.15170888e+01
3.00000000e+01	3.60577108e-01	5.00920416e+12	9.21154573e+00	3.19284299e+02	5.14146428e+01
3.10000000e+01	3.05617020e-01	5.36368262e+12	1.08733801e+01	2.49766130e+02	5.13208350e+01
3.20000000e+01	2.49459401e-01	5.70784460e+12	1.27086218e+01	1.85112915e+02	5.12348229e+01
3.30000000e+01	1.92252758e-01	6.03309656e+12	1.47097836e+01	1.31019865e+02	5.11731785e+01
3.40000000e+01	1.33852131e-01	6.33437269e+12	1.68662156e+01	9.08461468e+01	5.11046145e+01
3.50000000e+01	7.40522315e-02	6.60721715e+12	1.91334982e+01	6.50644018e+01	5.10363097e+01
3.60000000e+01	1.79694610e-02	6.83975933e+12	2.13811374e+01	5.25569593e+01	5.04567742e+01
3.70000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
3.80000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
3.90000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.00000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.10000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.20000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.30000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.40000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.50000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.60000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.70000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.80000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
4.90000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
5.00000000e+01	9.71884469e-03	6.89077136e+12	2.18953467e+01	5.06821155e+01	4.97467841e+01
